pacSelector,kind,owner,principalId,lastChange,category,displayName,id
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:12.0483984Z,,Configure prerequisites to enable Guest Attestation on Trusted Launch enabled VMs,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Deploy-GuestAttest
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:15.4905096Z,,Enable Defender for SQL on SQL VMs and Arc-enabled SQL Servers,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Deploy-MDFC-DefSQL-AMA
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:13.0198991Z,,Enable ChangeTracking and Inventory for virtual machines,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Deploy-VM-ChangeTrack
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:15.4379021Z,,Enable Azure Monitor for VMs,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Deploy-VM-Monitoring
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:12.5666073Z,,Enable ChangeTracking and Inventory for Arc-enabled virtual machines,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Deploy-vmArc-ChangeTrack
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:12.5619469Z,,Enable Azure Monitor for Hybrid Virtual Machines,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Deploy-vmHybr-Monitoring
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:13.0755674Z,,Enable ChangeTracking and Inventory for virtual machine scale sets,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Deploy-VMSS-ChangeTrack
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:13.4339111Z,,Enable Azure Monitor for Virtual Machine Scale Sets,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Deploy-VMSS-Monitoring
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:15.7208799Z,,Configure periodic checking for missing system updates on azure virtual machines and Arc-enabled virtual machines.,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enable-AUM-CheckUpdates
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:12.9240641Z,,Enforce enhanced recovery and backup policies,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-ASR
